Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,rainfall_to_temp_ratio
17402,Kenya,Maize,1990,16591,0.0,0.574569334609062,-2.2056252383288837,2.277765183191239
17412,Kenya,Maize,1991,18321,0.0,0.574569334609062,-1.2163868620887457,1.2225303944757326
17422,Kenya,Maize,1992,17271,0.0,0.574569334609062,-0.969077268028718,0.9651796825399199
17432,Kenya,Maize,1993,15549,0.0,0.574569334609062,-0.9072498695137111,0.9012352666463357
17442,Kenya,Maize,1994,20400,0.0,0.574569334609062,-0.22714848584862404,0.2080284323451637
17452,Kenya,Maize,1995,18759,0.0,1.40019534416479,-0.4126306813936448,0.395253786887867
17462,Kenya,Maize,1996,14506,0.0,2.6603995432845613,-0.6599402754536724,0.647013428276203
17472,Kenya,Maize,1997,14713,0.0,1.8101063243044968,0.3602118000439581,-0.37601345081790066
17482,Kenya,Maize,1998,16697,0.0,1.042520807511913,-0.38171698213613586,0.3639551744829642
17492,Kenya,Maize,1999,14817,0.0,0.2749352907193294,0.1438159052414284,-0.1623862810734775
17502,Kenya,Maize,2000,14400,0.0,-0.49265022607325437,0.23655700301394428,-0.25415968137953804
17512,Kenya,Maize,2001,17012,0.0,-0.7973628130797621,-1.7110060502088118,1.7449043861566391
17522,Kenya,Maize,2002,15126,0.0,-0.7973628130797621,-0.1344073880761082,0.11492298812343793
17532,Kenya,Maize,2004,19293,0.0,-0.7973628130797621,0.8239172889065264,-0.8278338326228446
17542,Kenya,Maize,2005,16405,0.0,-0.7973628130797621,1.9368104621766729,-1.880198805243518
17552,Kenya,Maize,2006,17197,0.0,-0.7973628130797621,0.8239172889065264,-0.8278338326228446
17562,Kenya,Maize,2007,18132,0.0,-0.7973628130797621,-0.16532108733360615,0.1459207444526718
17572,Kenya,Maize,2008,13925,0.0,-0.7973628130797621,0.02016110821141458,-0.039507610635685676
17582,Kenya,Maize,2009,12943,0.0,-0.7973628130797621,1.9986378606916797,-1.9373793297674065
17592,Kenya,Maize,2010,17251,0.0,-0.7973628130797621,0.5147802963314808,-0.5275156478083846
17602,Kenya,Maize,2011,15840,0.0,-0.7973628130797621,0.7620898903915085,-0.7680545205686417
17612,Kenya,Maize,2012,17366,0.0,-0.7973628130797621,0.5766076948464878,-0.5878646227140887
17622,Kenya,Maize,2013,16922,0.0,-0.7973628130797621,0.7930035896490174,-0.7979618523237282
